document_id,category,total_sentences,equity_sentences,equity_share_pct
doc_2d830432db58,federal_policy,808,184,22.77
doc_b6c59960902d,federal_policy,518,21,4.05
doc_3b5b62f473fa,federal_policy,830,34,4.1
doc_46ec5987ef35,federal_policy,272,5,1.84
doc_2e95c1cc9b9a,federal_policy,1597,8,0.5
doc_b3fd59698f30,federal_policy,430,2,0.47
doc_e4ba73b66c77,federal_policy,543,114,20.99
doc_b712eb46ee43,federal_policy,263,4,1.52
doc_522d6a03cadb,federal_policy,697,154,22.09
doc_123714beb957,federal_policy,351,38,10.83
doc_6663281e73de,federal_policy,544,103,18.93
doc_9db3d0d6fdcd,federal_policy,724,277,38.26
doc_7bb140f6114e,federal_policy,42,26,61.9
doc_47f5f02d4260,federal_policy,296,13,4.39
doc_050d8961371f,federal_policy,572,53,9.27
doc_dcf2edd5a479,federal_policy,15,0,0.0
doc_700359b8b160,federal_policy,12,0,0.0
doc_37ad7cc53ed5,federal_policy,19,0,0.0
doc_cadc82a61393,academic,8,4,50.0
doc_d820a84e2423,academic,5,0,0.0
doc_123bd0b65fb2,academic,6,1,16.67
doc_558e1ea4c5ab,academic,6,5,83.33
doc_458b714303e0,academic,7,4,57.14
doc_a73d14a0be99,academic,4,3,75.0
doc_1202aa2429c3,academic,5,2,40.0
doc_27d7e7dedb70,academic,1,0,0.0
doc_e2f588839cd1,academic,11,6,54.55
doc_2f4f6a4f91dd,academic,4,1,25.0
doc_e74236b2c1fc,academic,6,6,100.0
doc_87519716d812,academic,5,4,80.0
doc_2401f1294e4b,academic,8,3,37.5
doc_273ff2e60f98,academic,13,6,46.15
doc_bdfdbb9b08ca,academic,14,9,64.29
doc_26a81136fe57,academic,12,7,58.33
doc_39c32b36ebcc,academic,10,3,30.0
doc_21d7e8f83c9c,academic,10,7,70.0
doc_b843fdcf0bcc,academic,8,8,100.0
doc_c64725f208e9,academic,10,3,30.0
doc_999067a3f953,academic,10,5,50.0
doc_1ac41c2a7e70,academic,6,4,66.67
doc_ee384505caa7,academic,12,6,50.0
doc_eb8b4f504d6f,academic,14,3,21.43
doc_8e83c686a8ca,academic,9,4,44.44
doc_038ff8ad945b,academic,20,10,50.0
doc_55686149b3d8,academic,11,9,81.82
doc_d01105a166af,academic,10,5,50.0
doc_ba5419d6054b,academic,2,1,50.0
doc_3c35f1091bed,academic,1,1,100.0
doc_3f993d09b9aa,academic,2,1,50.0
doc_ee253d57b716,academic,2,1,50.0
doc_6bbe979a144c,academic,25,6,24.0
doc_e6c77cd16248,academic,7,0,0.0
doc_b3c8b176b3f1,academic,9,0,0.0
doc_7fda82a80942,academic,8,0,0.0
doc_2cdc44988e7c,academic,5,2,40.0
