title,url,category,source_label
Developing Health Equity Measures,https://aspe.hhs.gov/sites/default/files/private/pdf/265566/developing-health-equity-measures.pdf,federal_policy,ASPE / HHS
HHS Action Plan to Reduce Racial and Ethnic Health Disparities,https://aspe.hhs.gov/sites/default/files/private/pdf/206166/DisparitiesActionPlan.pdf,federal_policy,ASPE / HHS
"Agency Program, Activity, and Policy Highlights to Advance Health Equity and Social Determinants of Health",https://aspe.hhs.gov/sites/default/files/documents/514310c76b9ed8afa49cd223002b42bf/SDOH-Highlights.pdf,federal_policy,ASPE / HHS
Advancing Equity through Quantitative Analysis,https://aspe.hhs.gov/sites/default/files/documents/41fbd5e6cbc181b77f96076c3ec70fdc/Advance_Equity_Quant_Analysis.pdf,federal_policy,ASPE / HHS
2023 Capacity Assessment Update,https://aspe.hhs.gov/sites/default/files/documents/fbbe2c601e231a8ce9089e4f02e27080/hhs-cross-agency-capacity-assessment.pdf,federal_policy,HHS
Landscape of Area-Level Deprivation Measures and Other Approaches to Account for Social Risk and SDOH,https://aspe.hhs.gov/sites/default/files/documents/8dc674c904723bf8a5ce4cfc8d3dcdaa/Area-Level-SDOH-Indices-Report.pdf,federal_policy,ASPE / HHS
Building Data Capacity for Patient-Centered Outcomes Research to Address COVID-19 and Health Equity,https://aspe.hhs.gov/sites/default/files/2021-07/covid-pcor-report.pdf,federal_policy,ASPE / HHS
Health Equity Guide,https://www.cdc.gov/health-communication/pdf/health-equity-guide-infographic-508.pdf,federal_policy,CDC
Focusing on Health Equity,https://stacks.cdc.gov/view/cdc/126226/cdc_126226_DS1.pdf,federal_policy,CDC
Promoting Health Equity: A Resource to Help Communities Address Social Determinants of Health,https://stacks.cdc.gov/view/cdc/11130/cdc_11130_DS1.pdf,federal_policy,CDC
CDC's Health Equity Guiding Principles for Inclusive Communication,https://www.cdc.gov/healthcommunication/HealthEquityGuidingPrinciples.pdf,federal_policy,CDC
Working Toward Health Equity,https://www.cdc.gov/cancer/nbccedp/pdf/nbccedp-health-equity-strategies-508.pdf,federal_policy,CDC
Improving Social Determinants of Health --- Getting Further Faster Evaluation Brief,https://www.cdc.gov/health-equity-chronic-disease/media/pdfs/2024/04/GFF-eval-brief-508.pdf,federal_policy,CDC
CDC COVID-19 Response Health Equity Strategy,https://archive.cdc.gov/www_cdc_gov/coronavirus/2019-ncov/downloads/community/CDC-Strategy.pdf,federal_policy,CDC
CMS Framework for Health Equity 2022--2032,https://www.cms.gov/files/document/cms-framework-health-equity.pdf,federal_policy,CMS
Health Equity Data Book,https://www.cms.gov/files/document/2025-cms-omh-health-equity-data-book.pdf,federal_policy,CMS Office of Minority Health
"Resource of Health Equity-Related Data Definitions, Standards, Stratification Practices, and Federal Resources",https://www.cms.gov/files/document/cms-2024-omh-data-definitions.pdf,federal_policy,CMS Office of Minority Health
Improving Data to Advance Health Equity Solutions,https://www.cms.gov/files/document/path-forwardhe-data-paper.pdf,federal_policy,CMS
Assessing Equity to Drive Health Care Improvements,https://www.cms.gov/priorities/innovation/data-and-reports/2023/assessing-equity-hc-improv-wp,federal_policy,CMS Innovation Center
States Advancing All-Payer Health Equity Approaches and Development (AHEAD) Overview,https://www.cms.gov/files/document/ahead-overview-fs.pdf,federal_policy,CMS Innovation Center
Health Equity Report 2019--2020,https://www.hrsa.gov/sites/default/files/hrsa/about/news/hrsa-health-equity-report.pdf,federal_policy,HRSA
Paving the Way to Equity: A Progress Report (2015--2021),https://www.cms.gov/files/document/paving-way-equity-cms-omh-progress-report.pdf,federal_policy,CMS Office of Minority Health
Health Equity and Health Disparities Environmental Scan,https://odphp.health.gov/sites/default/files/2022-04/HP2030-HealthEquityEnvironmentalScan.pdf,federal_policy,ODPHP (Healthy People 2030)
The Role of Law and Policy in Achieving Health Equity and Attaining Our Healthy People Objectives,https://odphp.health.gov/sites/default/files/2021-11/Combined-508.pdf,federal_policy,ODPHP (Healthy People 2030)
Implementation of Healthy People 2030: Recommendations for Implementation and the Framework Graphic,https://odphp.health.gov/sites/default/files/2021-09/Report%208_Implementation%20and%20Graphic_Formatted_%20EO_508c-final_0.pdf,federal_policy,ODPHP / Secretary\'s Advisory Committee
"CMS Framework for Advancing Health Care in Rural, Tribal, and Geographically Isolated Communities",https://www.cms.gov/files/document/cms-geographic-framework.pdf,federal_policy,CMS
"Advancing Health Equity in Rural, Tribal, and Geographically Isolated Communities: FY 2023 Year in Review",https://www.cms.gov/files/document/fy-2023-advancing-rural-health-508.pdf,federal_policy,CMS
National CLAS Standards,https://thinkculturalhealth.hhs.gov/clas/standards,federal_policy,HHS Office of Minority Health / Think Cultural Health
National Healthcare Quality and Disparities Report,https://www.ahrq.gov/research/findings/nhqrdr/index.html?utm_source=chatgpt.com,federal_policy,AHRQ
Healthy People 2030: Health Equity in Healthy People 2030,https://health.gov/healthypeople,federal_policy,ODPHP / HHS
SAMHSA Behavioral Health Equity Framework,https://www.samhsa.gov/behavioral-health-equity,federal_policy,SAMHSA
IHS Disparities Fact Sheet,https://www.ihs.gov/newsroom/factsheets/disparities/,federal_policy,Indian Health Service
Health disparities and health equity: concepts and measurement,https://pubmed.ncbi.nlm.nih.gov/16533114/,academic,PubMed
Health disparities and health equity: the issue is justice,https://pubmed.ncbi.nlm.nih.gov/21551385/,academic,PubMed
Toward a fourth generation of disparities research to achieve health equity,https://pubmed.ncbi.nlm.nih.gov/21219164/,academic,PubMed
How Policy Improves Health,https://pubmed.ncbi.nlm.nih.gov/26079819/,academic,PubMed
Policy Approaches to Advancing Health Equity,https://pubmed.ncbi.nlm.nih.gov/26599030/,academic,PubMed
Integrating Health Equity Into Practice and Policy,https://pubmed.ncbi.nlm.nih.gov/26599023/,academic,PubMed
"Closing The Gaps In Health Care Disparities, Interventions, And Research",https://pubmed.ncbi.nlm.nih.gov/27503965/,academic,PubMed
The Importance of Policy Change for Addressing Public Health Problems,https://pubmed.ncbi.nlm.nih.gov/30426876/,academic,PubMed
Making Strides Toward Health Equity: The Experiences of Public Health Departments,https://pubmed.ncbi.nlm.nih.gov/31136507/,academic,PubMed
Reducing Health Disparities to Promote Health Equity through Health Policy Research,https://pubmed.ncbi.nlm.nih.gov/31308599/,academic,PubMed
Strategies for Achieving Health Equity: Concern about the Whole and Concern about the Holes,https://pubmed.ncbi.nlm.nih.gov/31308603/,academic,PubMed
Addressing Health Equity in Public Health Practice,https://pubmed.ncbi.nlm.nih.gov/31900101/,academic,PubMed
The Potential and Realized Impact of the Affordable Care Act on Health Equity,https://pubmed.ncbi.nlm.nih.gov/32589207/,academic,PubMed
"Race, Racism, and the Policy of 21st Century Medicine",https://pubmed.ncbi.nlm.nih.gov/33795992/,academic,PubMed
How the Trump Administration's Pandemic Health Care Policies Endanger Racial Health Equity,https://pubmed.ncbi.nlm.nih.gov/33765139/,academic,PubMed
How Do We Define and Measure Health Equity? The State of Current Practice and Tools,https://pubmed.ncbi.nlm.nih.gov/35867507/,academic,PubMed
Medicaid can and should play an active role in advancing health equity,https://onlinelibrary.wiley.com/doi/10.1111/1475-6773.14069,academic,Health Services Research
How Much Does the US Public Value Equity in Health? A Systematic Review,https://pubmed.ncbi.nlm.nih.gov/36216706/,academic,PubMed
"Advancing health equity through partnerships of state Medicaid agencies, MCOs, and delivery organizations",https://pubmed.ncbi.nlm.nih.gov/36969681/,academic,PubMed
Understanding Health Equity in Public Health Practice in the United States,https://pubmed.ncbi.nlm.nih.gov/37290132/,academic,PubMed
Mechanisms to enhance racial equity in health care,https://pubmed.ncbi.nlm.nih.gov/37483653/,academic,PubMed
Health equity is not possible without addressing disparities,https://pubmed.ncbi.nlm.nih.gov/37589700/,academic,PubMed
Health equity: A concept analysis,https://pubmed.ncbi.nlm.nih.gov/37683597/,academic,PubMed
Perspectives on Health Equity and Social Determinants of Health,https://pubmed.ncbi.nlm.nih.gov/37782727/,academic,PubMed
"Race, Healthcare, and Health Disparities: A Critical Review and Recommendations",https://pubmed.ncbi.nlm.nih.gov/37788031/,academic,PubMed
Health Equity and Access to Health Care as a Social Determinant of Health,https://pubmed.ncbi.nlm.nih.gov/37866830/,academic,PubMed
Health Care Policy and Disparities in Health,https://pubmed.ncbi.nlm.nih.gov/37963360/,academic,PubMed
Health equity: access to quality services and caring for all people,https://pubmed.ncbi.nlm.nih.gov/37995262/,academic,PubMed
Advancing health equity through social care interventions,https://pubmed.ncbi.nlm.nih.gov/38015863/,academic,PubMed
The Role of Health Policy in Improving Health Outcomes and Health Equity,https://pubmed.ncbi.nlm.nih.gov/39135594/,academic,PubMed
Did the Affordable Care Act Promote Racial Equity in Pregnancy-Related Health?,https://pubmed.ncbi.nlm.nih.gov/38574270/,academic,PubMed
Implementation and early effects of Medicaid policy interventions to advance maternal and early childhood racial equity,https://pubmed.ncbi.nlm.nih.gov/38649983/,academic,PubMed
Strategies and indicators to integrate health equity in health service and delivery systems,https://pubmed.ncbi.nlm.nih.gov/38632975/,academic,PubMed
A Scoping Review of Health Equity Interventions in Collaboration with Public Health Agencies,https://pubmed.ncbi.nlm.nih.gov/38830006/,academic,PubMed
"Social determinants of health and health equity policy research: exploring the use, misuse, and nonuse of policy analysis theory",https://pubmed.ncbi.nlm.nih.gov/24641879/,academic,PubMed
"Six Principles for Embedding Health Equity Language in Policy-Focused Research, Writing, and Communications",https://pubmed.ncbi.nlm.nih.gov/39935016/,academic,PubMed
Barriers to health equity in the United States of America,https://pubmed.ncbi.nlm.nih.gov/39920763/,academic,PubMed
How is health equity considered in policy evaluations employing quasi-experimental methods?,https://pubmed.ncbi.nlm.nih.gov/39602551/,academic,PubMed
"The US Medicaid Program: Coverage, Financing, Reforms, and Implications for Health Equity",https://pubmed.ncbi.nlm.nih.gov/36125468/,academic,PubMed
Conceptual approaches in combating health inequity: A scoping review protocol,https://pubmed.ncbi.nlm.nih.gov/36920932/,academic,PubMed
Methods used to conceptualize dimensions of health equity impacts of public health interventions in systematic reviews,https://pubmed.ncbi.nlm.nih.gov/38432524/,academic,PubMed
The health equity measurement framework: a comprehensive model to measure social inequities in health,https://pubmed.ncbi.nlm.nih.gov/30782161/,academic,PubMed
The Health Equity Framework: A Science- and Justice-Based Model for Public Health Researchers and Practitioners,https://pubmed.ncbi.nlm.nih.gov/32814445/,academic,PubMed
Advancing Health Equity in Health Care Coverage: A Public-Private Partnership to Engage Underserved Communities in Medicaid Expansion,https://pubmed.ncbi.nlm.nih.gov/36533458/,academic,PubMed
Using Participatory Implementation Science to Advance Health Equity,https://pubmed.ncbi.nlm.nih.gov/38109515/,academic,PubMed
A conceptual framework for evaluating health equity promotion within community-based participatory research partnerships,https://pubmed.ncbi.nlm.nih.gov/29894902/,academic,PubMed
Addressing health equity during design and implementation of health system reform initiatives: a scoping review and framework,https://pubmed.ncbi.nlm.nih.gov/40069696/,academic,PubMed
Health Equity in Public Health: Clarifying our Commitment,https://academic.oup.com/phe/article-abstract/8/2/173/2362531,academic,Public Health Ethics / Oxford Academic
(Re)Engaging the Normative in Public Health Discourse and Practice? The Case of Health Equity,https://academic.oup.com/phe/article-abstract/13/3/247/5874652,academic,Public Health Ethics / Oxford Academic
"Food Sovereignty, Food Security and Health Equity: A Meta-Narrative Mapping Exercise",https://academic.oup.com/heapol/article-abstract/30/8/1078/555203,academic,Health Policy and Planning / Oxford Academic
Possible Connections Between Health Equity and Primary Health Care: a Scoping Review,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-025-21526-9,academic,BMC Public Health
Sentinels of Inequity: Examining Policy Requirements for Equity-Oriented Primary Healthcare,https://bmchealthservres.biomedcentral.com/articles/10.1186/s12913-018-3501-3,academic,BMC Health Services Research
A Tool to Assess Alignment Between Knowledge and Action for Health Equity,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-020-8324-6,academic,BMC Public Health
"""The Health Equity Curse"": Ethical Tensions in Promoting Health Equity",https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-021-11594-y,academic,BMC Public Health
A Health Equity Framework for the US Preventive Services Task Force,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2815866,academic,JAMA Network Open
A Road Map for Population Health and Health Equity Research,https://jamanetwork.com/journals/jamapediatrics/article-abstract/2819321,academic,JAMA Pediatrics
The US Health Equity Crisis --- An Economic Case for a Moral Imperative?,https://jamanetwork.com/journals/jama/article-abstract/2804847,academic,JAMA
Advocacy for Health Equity: A Synthesis Review,https://www.milbank.org/quarterly/articles/advocacy-for-health-equity-a-synthesis-review/,academic,Milbank Quarterly
Advancing a Health Equity Agenda Across Multiple Policy Domains: a Qualitative Policy Analysis,https://bmjopen.bmj.com/content/10/11/e040180,academic,BMJ Open
Social Determinants of Health Inequalities,https://pubmed.ncbi.nlm.nih.gov/15781105/,academic,The Lancet
Unequal Treatment: Confronting Racial and Ethnic Disparities in Health Care,https://pubmed.ncbi.nlm.nih.gov/25032386/,academic,National Academies Press / PubMed
What Are Health Disparities and Health Equity? We Need to Be Clear,https://pubmed.ncbi.nlm.nih.gov/24354818/,academic,PubMed
Structural Racism and Health Inequities in the USA: Evidence and Interventions,https://pubmed.ncbi.nlm.nih.gov/28402827/,academic,The Lancet / PubMed
Structural Racism and Health Inequities,https://pubmed.ncbi.nlm.nih.gov/33326721/,academic,NEJM / PubMed
Creating the Healthiest Nation: Advancing Health Equity,https://pubmed.ncbi.nlm.nih.gov/30212863/,academic,APHA / PubMed
"Achieving Health Equity: Closing the Gaps in Health Care Disparities, Interventions, and Research",https://pubmed.ncbi.nlm.nih.gov/31714069/,academic,Health Affairs / PubMed
Racism and Health: Evidence and Needed Research,https://pubmed.ncbi.nlm.nih.gov/30480152/,academic,Annual Review of Public Health / PubMed
Health Equity --- Are We Finally on the Edge of a New Frontier?,https://pubmed.ncbi.nlm.nih.gov/34192429/,academic,NEJM / PubMed
The Concepts and Measurement of Race and Ethnicity in Health Sciences Research,https://pubmed.ncbi.nlm.nih.gov/32945884/,academic,PubMed
Moving Upstream to Reduce Racial Inequities in Child Health,https://pubmed.ncbi.nlm.nih.gov/35994207/,academic,PubMed
Health Inequity and the Effects of COVID-19,https://pubmed.ncbi.nlm.nih.gov/34228377/,academic,PubMed
COVID-19 and Racial/Ethnic Disparities,https://pubmed.ncbi.nlm.nih.gov/32511847/,academic,JAMA / PubMed
Racial and Ethnic Disparities in Adult Vaccination,https://pubmed.ncbi.nlm.nih.gov/33320097/,academic,PubMed
The Weathering Hypothesis and the Health of African-American Women and Infants,https://pubmed.ncbi.nlm.nih.gov/8604028/,academic,Ethnicity and Disease / PubMed
Achieving Equity in an Evolving Healthcare System: Opportunities and Challenges,https://pubmed.ncbi.nlm.nih.gov/25582427/,academic,American Journal of Medical Quality / PubMed
Principles of Health Equity Science for Public Health Action Correct,https://pubmed.ncbi.nlm.nih.gov/38044623/,academic,
Implicit Bias in Health Care Professionals: A Systematic Review,https://pubmed.ncbi.nlm.nih.gov/28249596/,academic,BMC Medical Ethics / PubMed
Inequity in Quality of Care for Patients with Diabetes,https://pubmed.ncbi.nlm.nih.gov/12435255/,academic,JAMA / PubMed
Social Determinants of Health and Equity in the United States,https://pubmed.ncbi.nlm.nih.gov/28899075/,academic,PubMed
Equity and Excellence in American Higher Education: University-Community Health Partnerships,https://pubmed.ncbi.nlm.nih.gov/19386036/,academic,PubMed
Addressing the Social Determinants of Health: The Urban Areas Health Education Centers,https://pubmed.ncbi.nlm.nih.gov/19884777/,academic,PubMed
The Quintuple Aim for Health Care Improvement: A New Imperative to Advance Health Equity,https://pubmed.ncbi.nlm.nih.gov/35061006/,academic,JAMA (2022)
An Equity Lens on Intellectual and Developmental Disabilities Research,https://pubmed.ncbi.nlm.nih.gov/33284946/,academic,PubMed
Intersectionality and Health: An Introduction,https://pubmed.ncbi.nlm.nih.gov/32026975/,academic,American Journal of Public Health / PubMed
Defining Health Equity: A Modern US Perspective,https://pubmed.ncbi.nlm.nih.gov/39720530/,academic,iScience (2024)
From Health Literacy to Health Equity: A Discourse Analysis of Chronic Disease Self-Management Literature,https://pubmed.ncbi.nlm.nih.gov/31014089/,academic,Social Science & Medicine / PubMed
The Role of Public Health in Addressing Racial and Ethnic Disparities in Mental Health and Mental Illness,https://pubmed.ncbi.nlm.nih.gov/16037222/,academic,PubMed
Confronting Health Inequities Among Indigenous Peoples,https://pubmed.ncbi.nlm.nih.gov/16549665/,academic,PubMed
Healthcare Disparities in Pediatrics,https://pubmed.ncbi.nlm.nih.gov/20439601/,academic,PubMed
Social Determinants of Health Equity,https://pubmed.ncbi.nlm.nih.gov/15571958/,academic,American Journal of Public Health / PubMed
Progress in Achieving Health Equity Requires Attention to Root Causes,https://pubmed.ncbi.nlm.nih.gov/28583955/,academic,Health Affairs (2017)
"Discrimination, Mental Health, and Suicidal Ideation Among LGBTQ People of Color",https://pubmed.ncbi.nlm.nih.gov/28493664/,academic,PubMed
Rural-Urban Disparities in Health Care in the United States,https://pubmed.ncbi.nlm.nih.gov/28777724/,academic,PubMed
Maternal Mortality and Morbidity in the United States: Where Are We Now?,https://pubmed.ncbi.nlm.nih.gov/30629181/,academic,PubMed
The National Institute on Minority Health and Health Disparities Research Framework,https://pubmed.ncbi.nlm.nih.gov/30699025/,academic,American Journal of Public Health (2019)
Addressing Social Determinants of Health in Primary Care,https://pubmed.ncbi.nlm.nih.gov/31248415/,academic,PubMed
Community Health Workers as a Strategy to Address Health Inequities,https://pubmed.ncbi.nlm.nih.gov/25789077/,academic,PubMed
Health Disparities in Chronic Kidney Disease,https://pubmed.ncbi.nlm.nih.gov/32146931/,academic,Clinical Journal of the American Society of Nephrology / PubMed
"Measuring Health Disparities, Health Inequities, and Social Determinants of Health to Support the Advancement of Health Equity",https://pubmed.ncbi.nlm.nih.gov/28936010/,academic,PubMed
Place Matters: Neighborhoods and Health,https://pubmed.ncbi.nlm.nih.gov/19371159/,academic,PubMed
